Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",124.858600,-61.492100,0.000000,top
"C2","10uF","C_0402_1005Metric",119.340000,-61.417500,180.000000,top
"C3","10uF","C_0402_1005Metric",122.725000,-61.525000,0.000000,top
"C4","10uF","C_0402_1005Metric",119.350000,-62.647500,180.000000,top
"C5","100nF","C_0402_1005Metric",125.960000,-68.940000,90.000000,top
"C6","10uF","C_0402_1005Metric",127.960000,-68.950000,90.000000,top
"C7","100nF","C_0402_1005Metric",117.860000,-68.852500,90.000000,top
"C8","10uF","C_0402_1005Metric",119.860000,-68.872500,90.000000,top
"C9","100nF","C_0402_1005Metric",117.760000,-64.717500,90.000000,top
"C10","10uF","C_0402_1005Metric",119.880000,-65.447500,90.000000,top
"C11","100nF","C_0402_1005Metric",125.195000,-87.125000,0.000000,top
"C12","100nF","C_0402_1005Metric",114.575000,-78.820000,-90.000000,top
"C13","100nF","C_0402_1005Metric",126.610000,-87.570000,90.000000,top
"C14","100nF","C_0402_1005Metric",114.500000,-82.600000,-90.000000,top
"C15","1uF","C_0402_1005Metric",127.078800,-81.711800,0.000000,top
"C16","2.2uF","C_0402_1005Metric",116.481800,-89.535000,0.000000,top
"C17","100nF","C_0402_1005Metric",117.325000,-87.125000,180.000000,top
"C18","100nF","C_0402_1005Metric",114.554000,-80.723800,90.000000,top
"C19","100nF","C_0402_1005Metric",123.095000,-87.125000,180.000000,top
"C20","100nF","C_0402_1005Metric",125.425000,-71.750000,-90.000000,top
"C21","1uF","C_0402_1005Metric",126.650000,-80.220000,90.000000,top
"C22","30pF","C_0402_1005Metric",119.634000,-73.355200,90.000000,top
"C23","30pF","C_0402_1005Metric",119.608600,-71.473000,-90.000000,top
"C33","10uF","C_0402_1005Metric",108.880000,-55.710000,-90.000000,top
"C34","100nF","C_0402_1005Metric",113.487200,-53.797800,-90.000000,top
"C35","1uF","C_0402_1005Metric",113.527200,-57.617800,90.000000,top
"C36","1uF","C_0402_1005Metric",113.507200,-55.717800,-90.000000,top
"C37","10uF","C_0402_1005Metric",122.740000,-88.090000,180.000000,top
"C38","22uF","C_0805_2012Metric",120.550000,-89.570000,180.000000,top
"D1","LED","LED_0603_1608Metric",125.350000,-96.635000,90.000000,top
"J1","Raspberry_Pi_2_3","PinHeader_2x20_P2.54mm_Vertical",130.720000,-52.210000,0.000000,top
"J4","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GT-USB-7010",110.540000,-67.580000,-90.000000,top
"L1","2.2uH","L_0805_2012Metric",124.560000,-68.060000,-90.000000,top
"L2","2.2uH","L_0805_2012Metric",116.360000,-67.935000,-90.000000,top
"L3","2.2uH","L_0805_2012Metric",116.360000,-63.860000,-90.000000,top
"Q1","BC817","SOT-23",111.230000,-52.520000,90.000000,top
"Q2","BC817","SOT-23",111.260000,-56.672500,90.000000,top
"Q3","MMBT3904","SOT-23",120.640000,-96.815000,0.000000,top
"R1","68k","R_0402_1005Metric",126.960000,-68.950000,90.000000,top
"R2","15k","R_0402_1005Metric",127.450000,-67.460000,0.000000,top
"R3","47k","R_0402_1005Metric",118.860000,-68.882500,90.000000,top
"R4","15k","R_0402_1005Metric",119.360000,-67.372500,0.000000,top
"R5","12k","R_0402_1005Metric",118.850000,-65.367500,90.000000,top
"R6","15k","R_0402_1005Metric",119.370000,-63.877500,0.000000,top
"R7","2k2","R_0402_1005Metric",122.310000,-68.847500,90.000000,top
"R8","2k2","R_0402_1005Metric",121.260000,-68.862500,90.000000,top
"R9","10k","R_0402_1005Metric",115.690000,-74.330000,180.000000,top
"R10","10k","R_0402_1005Metric",110.921800,-76.835000,0.000000,top
"R11","0R","R_0402_1005Metric",107.160000,-51.510000,180.000000,top
"R12","0R","R_0402_1005Metric",107.160000,-52.500000,0.000000,top
"R13","10k","R_0402_1005Metric",113.487200,-51.487800,90.000000,top
"R14","10k","R_0402_1005Metric",108.970000,-57.880000,-90.000000,top
"R15","10k","R_0402_1005Metric",108.910000,-53.530000,90.000000,top
"R16","10k","R_0402_1005Metric",108.010000,-62.020000,180.000000,top
"R17","10k","R_0402_1005Metric",108.220000,-73.150000,180.000000,top
"R18","330","R_0402_1005Metric",123.600000,-97.275000,0.000000,top
"R19","100k","R_0402_1005Metric",123.635000,-95.850000,0.000000,top
"R20","0R","R_0402_1005Metric",126.950000,-71.160000,-90.000000,top
"R21","0R","R_0402_1005Metric",117.600000,-70.915000,-90.000000,top
"R22","0R","R_0402_1005Metric",115.275000,-60.875000,0.000000,top
"SW1","SW_Push","SW_Push_1P1T_XKB_TS-1187A",126.075000,-104.800000,90.000000,top
"SW2","SW_Push","SW_Push_1P1T_XKB_TS-1187A",120.425000,-104.800000,90.000000,top
"SW3","SW_Push","SW_Push_1P1T_XKB_TS-1187A",114.805000,-104.800000,90.000000,top
"U1","F1C100s","QFN-88_EP_10x10_Pitch0.4mm",120.600000,-81.100000,90.000000,top
"U3","W25N01GVZEIG","WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm",109.550000,-83.250000,90.000000,top
"U4","ESP32-C3-MINI-1","ESP32-C3-MINI-1",120.853800,-50.968000,0.000000,top
"U6","EA3036","QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm",123.290000,-64.147500,0.000000,top
"Y1","24MHz","Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm",122.242400,-72.275600,180.000000,top
