Comment,Designator,Footprint,LCSC
"TP_1v1","1v1","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_2v5","2v5","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_3v3","3v3","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_5v","5v1","TestPoint:TestPoint_Pad_D1.0mm",""
"10uF","C1,C2,C3,C4,C6,C8,C10,C33,C37","Capacitor_SMD:C_0402_1005Metric","C15525"
"1uF","C15,C21,C35,C36","Capacitor_SMD:C_0402_1005Metric","C52923"
"2.2uF","C16","Capacitor_SMD:C_0402_1005Metric","C12530"
"33pF","C22,C23","Capacitor_SMD:C_0402_1005Metric","C1562"
"22uF","C38","Capacitor_SMD:C_0805_2012Metric","C59461"
"100nF","C5,C7,C9,C11,C12,C13,C14,C17,C18,C19,C20,C34","Capacitor_SMD:C_0402_1005Metric","C307331"
"LED","D1","LED_SMD:LED_0603_1608Metric",""
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2.7mm_M2.5",""
"Raspberry_Pi_2_3","J1","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"USB_C_Receptacle_USB2.0","J4","Connector_USB:USB_C_Receptacle_GT-USB-7010","C963370"
"2.2uH","L1,L2,L3","Inductor_SMD:L_0805_2012Metric","C1043"
"BC817","Q1,Q2","Package_TO_SOT_SMD:SOT-23","C2150"
"MMBT3904","Q3","Package_TO_SOT_SMD:SOT-23","C20526"
"68k","R1","Resistor_SMD:R_0402_1005Metric","C36871"
"0R","R11,R12,R20,R21,R22","Resistor_SMD:R_0402_1005Metric","C17168"
"330","R18","Resistor_SMD:R_0402_1005Metric","C25104"
"100k","R19","Resistor_SMD:R_0402_1005Metric","C25741"
"15k","R2,R4,R6","Resistor_SMD:R_0402_1005Metric","C25756"
"47k","R3","Resistor_SMD:R_0402_1005Metric","C25792"
"12k","R5","Resistor_SMD:R_0402_1005Metric","C25752"
"2k2","R7,R8","Resistor_SMD:R_0402_1005Metric","C25879"
"10k","R9,R10,R13,R14,R15,R16,R17","Resistor_SMD:R_0402_1005Metric","C25744"
"SW_Push","SW1,SW2,SW3","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","C318884"
"F1C100s","U1","Package_DFN_QFN:QFN-88_EP_10x10_Pitch0.4mm","C2879851"
"W25N01GVZEIG","U3","Package_SON:WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm","C88868"
"ESP32-C3-MINI-1","U4","espressif:ESP32-C3-MINI-1","C2838502"
"EA3036","U6","Package_DFN_QFN:QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm","C570857"
"24MHz","Y1","Crystal:Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm","C15643"
