Designator,Mid X,Mid Y,Layer,Rotation
C1,124.858600mm,-61.492100mm,Top,0
C2,119.340000mm,-61.417500mm,Top,180
C3,122.725000mm,-61.525000mm,Top,0
C4,119.350000mm,-62.647500mm,Top,180
C5,125.960000mm,-68.940000mm,Top,90
C6,127.960000mm,-68.950000mm,Top,90
C7,117.860000mm,-68.852500mm,Top,90
C8,119.860000mm,-68.872500mm,Top,90
C9,117.760000mm,-64.717500mm,Top,90
C10,119.880000mm,-65.447500mm,Top,90
C11,125.195000mm,-87.125000mm,Top,0
C12,114.575000mm,-78.820000mm,Top,270
C13,126.610000mm,-87.570000mm,Top,90
C14,114.500000mm,-82.600000mm,Top,270
C15,127.078800mm,-81.711800mm,Top,0
C16,116.481800mm,-89.535000mm,Top,0
C17,117.325000mm,-87.125000mm,Top,180
C18,114.554000mm,-80.723800mm,Top,90
C19,123.095000mm,-87.125000mm,Top,180
C20,125.425000mm,-71.750000mm,Top,270
C21,126.650000mm,-80.220000mm,Top,90
C22,119.634000mm,-73.355200mm,Top,90
C23,119.608600mm,-71.473000mm,Top,270
C33,108.880000mm,-55.710000mm,Top,270
C34,113.487200mm,-53.797800mm,Top,270
C35,113.527200mm,-57.617800mm,Top,90
C36,113.507200mm,-55.717800mm,Top,270
C37,122.740000mm,-88.090000mm,Top,180
C38,120.550000mm,-89.570000mm,Top,180
D1,125.350000mm,-96.635000mm,Top,90
J1,130.720000mm,-52.210000mm,Top,0
J4,110.540000mm,-67.580000mm,Top,270
L1,124.560000mm,-68.060000mm,Top,270
L2,116.360000mm,-67.935000mm,Top,270
L3,116.360000mm,-63.860000mm,Top,270
Q3,120.640000mm,-96.815000mm,Top,0
R1,126.960000mm,-68.950000mm,Top,90
R2,127.450000mm,-67.460000mm,Top,0
R3,118.860000mm,-68.882500mm,Top,90
R4,119.360000mm,-67.372500mm,Top,0
R5,118.850000mm,-65.367500mm,Top,90
R6,119.370000mm,-63.877500mm,Top,0
R7,122.310000mm,-68.847500mm,Top,90
R8,121.260000mm,-68.862500mm,Top,90
R9,115.690000mm,-74.330000mm,Top,180
R10,110.921800mm,-76.835000mm,Top,0
R13,113.487200mm,-51.487800mm,Top,90
R16,108.010000mm,-62.020000mm,Top,180
R17,108.220000mm,-73.150000mm,Top,180
R18,123.600000mm,-97.275000mm,Top,0
R19,123.635000mm,-95.850000mm,Top,0
R20,126.950000mm,-71.160000mm,Top,270
R21,117.600000mm,-70.915000mm,Top,270
R22,115.275000mm,-60.875000mm,Top,0
R23,113.030000mm,-49.760000mm,Top,180
R24,122.870000mm,-60.310000mm,Top,180
R25,119.140000mm,-99.950000mm,Top,180
SW1,126.075000mm,-104.800000mm,Top,90
SW2,120.425000mm,-104.800000mm,Top,90
SW3,114.805000mm,-104.800000mm,Top,90
U1,120.600000mm,-81.100000mm,Top,90
U3,109.550000mm,-83.250000mm,Top,90
U4,120.853800mm,-50.968000mm,Top,0
U6,123.290000mm,-64.147500mm,Top,0
Y1,122.242400mm,-72.275600mm,Top,180
